,Z,S,K,l,b,Q_t_hat,d_ijk
0,290970101001000,1,0,21991.2,5.0,4.027091363471631e-05,5.3612376459629845
1,290970101001000,1,1,21979.895,0.0,4.0004867125991296e-05,5.35957979582002
2,290970101001000,1,2,14499.46097,0.0,4.0038730554474485e-05,4.198794941631942
3,290970101001000,1,3,4194.235076,0.0,3.93695547752114e-05,2.6286147952309618
4,290970101001001,1,0,17962.2,2.0,4.018205393294737e-05,1.2866970350311167
5,290970101001001,1,1,17952.96619,0.0,3.942199692308625e-05,1.2862991512094828
6,290970101001001,1,2,11843.01984,0.0,4.008500648679959e-05,1.0077107861412393
7,290970101001001,1,3,3425.810746,0.0,4.011486089692174e-05,0.63086755084678
8,290970101001002,1,0,25381.0,4.0,3.98558495641321e-05,5.790136657640025
9,290970101001002,1,1,25367.95241,0.0,3.558291307154115e-05,5.788346179758921
10,290970101001002,1,2,16734.45828,0.0,3.997670151394796e-05,4.534698537285836
11,290970101001002,1,3,4840.749048,0.0,4.0114743320223985e-05,2.8389039788519153
12,290970101001003,1,0,20957.6,33.0,4.006937354140033e-05,34.31192093416309
13,290970101001003,1,1,20946.82634,0.0,3.9248762328291267e-05,34.30131069128673
14,290970101001003,1,2,13817.97734,0.0,4.018226023437768e-05,26.87228762910494
15,290970101001003,1,3,3997.103433,0.0,4.01477871569242e-05,16.82313468893084
16,290970101001006,1,0,26717.2,10.0,4.024089173828311e-05,12.866970350311167
17,290970101001006,1,1,26703.46551,0.0,4.016415738831592e-05,12.86299151035687
18,290970101001006,1,2,17615.45521,0.0,3.993751397728317e-05,10.077107859722474
19,290970101001006,1,3,5095.593572,0.0,4.002594203333988e-05,6.308675508406294
20,290970101001007,1,0,30756.4,10.0,4.0228379164687e-05,5.146788140124467
21,290970101001007,1,1,30740.58908,0.0,4.024219935668418e-05,5.145196603978503
22,290970101001007,1,2,20278.62151,0.0,4.025390543235209e-05,4.030843143832055
23,290970101001007,1,3,5865.96328,0.0,3.9941473520555546e-05,2.5234702033857577
24,290970101001008,1,0,14701.6,5.0,3.922988491696258e-05,12.35229153629872
25,290970101001008,1,1,14694.04236,0.0,4.019426557138323e-05,12.348471849919436
26,290970101001008,1,2,9693.207983,0.0,3.9790453623760256e-05,9.674023545499905
27,290970101001008,1,3,2803.938229,0.0,4.0236773776841475e-05,6.056328487958321
28,290970101001013,1,0,21063.0,4.0,3.9721297713801265e-05,3.8600911050933497
29,290970101001013,1,1,21052.17216,0.0,4.023448349811628e-05,3.858897453090645
30,290970101001013,1,2,13887.47073,0.0,4.015213270298824e-05,3.0231323574642275
31,290970101001013,1,3,4017.205673,0.0,4.022160968102004e-05,1.8926026525204893
32,290970101001018,1,0,15680.8,20.0,4.024345348687263e-05,40.53095660348018
33,290970101001018,1,1,15672.73898,0.0,4.025298091774552e-05,40.51842325222576
34,290970101001018,1,2,10338.82406,0.0,3.809156791863269e-05,31.742889765661193
35,290970101001018,1,3,2990.694522,0.0,4.0211241157571063e-05,19.872327851444822
36,290970101001019,1,0,44880.0,17.0,4.02099025927867e-05,20.26547830174009
37,290970101001019,1,1,44856.92858,0.0,4.025866148618297e-05,20.259211630528142
38,290970101001019,1,2,29590.73667,0.0,3.554954054297743e-05,15.871444878342182
39,290970101001019,1,3,8559.66342,0.0,3.991336333494378e-05,9.936163925868717
40,290970101001021,1,0,16942.2,8.0,4.0256880411029307e-05,15.054355309864064
41,290970101001021,1,1,16933.49054,0.0,4.025036651238003e-05,15.049700068953634
