,Z,S,K,K',Sc
0,290970101001000,1,0,0,0.0
1,290970101001000,1,0,1,3689.994
2,290970101001000,1,0,2,4637.556
3,290970101001000,1,0,3,8324.316
5,290970101001000,1,1,1,0.0
6,290970101001000,1,1,2,4637.556
7,290970101001000,1,1,3,8324.316
10,290970101001000,1,2,2,0.0
11,290970101001000,1,2,3,8324.316
15,290970101001000,1,3,3,0.0
16,290970101001001,1,0,0,0.0
17,290970101001001,1,0,1,3013.9515
18,290970101001001,1,0,2,3787.911
19,290970101001001,1,0,3,6799.221
21,290970101001001,1,1,1,0.0
22,290970101001001,1,1,2,3787.911
23,290970101001001,1,1,3,6799.221
26,290970101001001,1,2,2,0.0
27,290970101001001,1,2,3,6799.221
31,290970101001001,1,3,3,0.0
32,290970101001002,1,0,0,0.0
33,290970101001002,1,0,1,4258.7825
34,290970101001002,1,0,2,5352.405
35,290970101001002,1,0,3,9607.455
37,290970101001002,1,1,1,0.0
38,290970101001002,1,1,2,5352.405
39,290970101001002,1,1,3,9607.455
42,290970101001002,1,2,2,0.0
43,290970101001002,1,2,3,9607.455
47,290970101001002,1,3,3,0.0
48,290970101001003,1,0,0,0.0
49,290970101001003,1,0,1,3516.562
50,290970101001003,1,0,2,4419.588
51,290970101001003,1,0,3,7933.068
53,290970101001003,1,1,1,0.0
54,290970101001003,1,1,2,4419.588
55,290970101001003,1,1,3,7933.068
58,290970101001003,1,2,2,0.0
59,290970101001003,1,2,3,7933.068
63,290970101001003,1,3,3,0.0
64,290970101001006,1,0,0,0.0
65,290970101001006,1,0,1,4482.989
66,290970101001006,1,0,2,5634.186
67,290970101001006,1,0,3,10113.246
69,290970101001006,1,1,1,0.0
70,290970101001006,1,1,2,5634.186
71,290970101001006,1,1,3,10113.246
74,290970101001006,1,2,2,0.0
75,290970101001006,1,2,3,10113.246
79,290970101001006,1,3,3,0.0
80,290970101001007,1,0,0,0.0
81,290970101001007,1,0,1,5160.743
82,290970101001007,1,0,2,6485.982
83,290970101001007,1,0,3,11642.202
85,290970101001007,1,1,1,0.0
86,290970101001007,1,1,2,6485.982
87,290970101001007,1,1,3,11642.202
90,290970101001007,1,2,2,0.0
91,290970101001007,1,2,3,11642.202
95,290970101001007,1,3,3,0.0
96,290970101001008,1,0,0,0.0
97,290970101001008,1,0,1,2466.842
98,290970101001008,1,0,2,3100.308
99,290970101001008,1,0,3,5564.988
101,290970101001008,1,1,1,0.0
102,290970101001008,1,1,2,3100.308
103,290970101001008,1,1,3,5564.988
106,290970101001008,1,2,2,0.0
107,290970101001008,1,2,3,5564.988
111,290970101001008,1,3,3,0.0
112,290970101001013,1,0,0,0.0
113,290970101001013,1,0,1,3534.2475
114,290970101001013,1,0,2,4441.815
115,290970101001013,1,0,3,7972.965
117,290970101001013,1,1,1,0.0
118,290970101001013,1,1,2,4441.815
119,290970101001013,1,1,3,7972.965
122,290970101001013,1,2,2,0.0
123,290970101001013,1,2,3,7972.965
127,290970101001013,1,3,3,0.0
128,290970101001018,1,0,0,0.0
129,290970101001018,1,0,1,2631.146
130,290970101001018,1,0,2,3306.804
131,290970101001018,1,0,3,5935.644
133,290970101001018,1,1,1,0.0
134,290970101001018,1,1,2,3306.804
135,290970101001018,1,1,3,5935.644
138,290970101001018,1,2,2,0.0
139,290970101001018,1,2,3,5935.644
143,290970101001018,1,3,3,0.0
144,290970101001019,1,0,0,0.0
145,290970101001019,1,0,1,7530.6
146,290970101001019,1,0,2,9464.4
147,290970101001019,1,0,3,16988.4
149,290970101001019,1,1,1,0.0
150,290970101001019,1,1,2,9464.4
151,290970101001019,1,1,3,16988.4
154,290970101001019,1,2,2,0.0
155,290970101001019,1,2,3,16988.4
159,290970101001019,1,3,3,0.0
160,290970101001021,1,0,0,0.0
161,290970101001021,1,0,1,2842.8015
162,290970101001021,1,0,2,3572.811
163,290970101001021,1,0,3,6413.121
165,290970101001021,1,1,1,0.0
166,290970101001021,1,1,2,3572.811
167,290970101001021,1,1,3,6413.121
170,290970101001021,1,2,2,0.0
171,290970101001021,1,2,3,6413.121
175,290970101001021,1,3,3,0.0
176,290970101001022,1,0,0,0.0
177,290970101001022,1,0,1,3084.6935
178,290970101001022,1,0,2,3876.819
179,290970101001022,1,0,3,6958.809
181,290970101001022,1,1,1,0.0
182,290970101001022,1,1,2,3876.819
183,290970101001022,1,1,3,6958.809
186,290970101001022,1,2,2,0.0
187,290970101001022,1,2,3,6958.809
191,290970101001022,1,3,3,0.0
192,290970101001023,1,0,0,0.0
193,290970101001023,1,0,1,2295.692
194,290970101001023,1,0,2,2885.208
195,290970101001023,1,0,3,5178.888
197,290970101001023,1,1,1,0.0
198,290970101001023,1,1,2,2885.208
199,290970101001023,1,1,3,5178.888
202,290970101001023,1,2,2,0.0
203,290970101001023,1,2,3,5178.888
207,290970101001023,1,3,3,0.0
208,290970101001024,1,0,0,0.0
209,290970101001024,1,0,1,3515.421
210,290970101001024,1,0,2,4418.154
211,290970101001024,1,0,3,7930.494
213,290970101001024,1,1,1,0.0
214,290970101001024,1,1,2,4418.154
215,290970101001024,1,1,3,7930.494
218,290970101001024,1,2,2,0.0
219,290970101001024,1,2,3,7930.494
223,290970101001024,1,3,3,0.0
224,290970101001025,1,0,0,0.0
225,290970101001025,1,0,1,3496.024
226,290970101001025,1,0,2,4393.776
227,290970101001025,1,0,3,7886.736
229,290970101001025,1,1,1,0.0
230,290970101001025,1,1,2,4393.776
231,290970101001025,1,1,3,7886.736
234,290970101001025,1,2,2,0.0
235,290970101001025,1,2,3,7886.736
239,290970101001025,1,3,3,0.0
240,290970101001026,1,0,0,0.0
241,290970101001026,1,0,1,3047.611
242,290970101001026,1,0,2,3830.214
243,290970101001026,1,0,3,6875.154
245,290970101001026,1,1,1,0.0
246,290970101001026,1,1,2,3830.214
247,290970101001026,1,1,3,6875.154
250,290970101001026,1,2,2,0.0
251,290970101001026,1,2,3,6875.154
255,290970101001026,1,3,3,0.0
256,290970101001027,1,0,0,0.0
257,290970101001027,1,0,1,4170.9255
258,290970101001027,1,0,2,5241.987
259,290970101001027,1,0,3,9409.257
261,290970101001027,1,1,1,0.0
262,290970101001027,1,1,2,5241.987
263,290970101001027,1,1,3,9409.257
266,290970101001027,1,2,2,0.0
267,290970101001027,1,2,3,9409.257
271,290970101001027,1,3,3,0.0
272,290970101001028,1,0,0,0.0
273,290970101001028,1,0,1,3322.592
274,290970101001028,1,0,2,4175.808
275,290970101001028,1,0,3,7495.488
277,290970101001028,1,1,1,0.0
278,290970101001028,1,1,2,4175.808
279,290970101001028,1,1,3,7495.488
282,290970101001028,1,2,2,0.0
283,290970101001028,1,2,3,7495.488
287,290970101001028,1,3,3,0.0
288,290970101001029,1,0,0,0.0
289,290970101001029,1,0,1,2772.63
290,290970101001029,1,0,2,3484.62
291,290970101001029,1,0,3,6254.82
293,290970101001029,1,1,1,0.0
294,290970101001029,1,1,2,3484.62
295,290970101001029,1,1,3,6254.82
298,290970101001029,1,2,2,0.0
299,290970101001029,1,2,3,6254.82
303,290970101001029,1,3,3,0.0
304,290970101001030,1,0,0,0.0
305,290970101001030,1,0,1,2870.756
306,290970101001030,1,0,2,3607.944
307,290970101001030,1,0,3,6476.184
309,290970101001030,1,1,1,0.0
310,290970101001030,1,1,2,3607.944
311,290970101001030,1,1,3,6476.184
314,290970101001030,1,2,2,0.0
315,290970101001030,1,2,3,6476.184
319,290970101001030,1,3,3,0.0
320,290970101001031,1,0,0,0.0
321,290970101001031,1,0,1,2441.74
322,290970101001031,1,0,2,3068.76
323,290970101001031,1,0,3,5508.36
325,290970101001031,1,1,1,0.0
326,290970101001031,1,1,2,3068.76
327,290970101001031,1,1,3,5508.36
330,290970101001031,1,2,2,0.0
331,290970101001031,1,2,3,5508.36
335,290970101001031,1,3,3,0.0
336,290970101001032,1,0,0,0.0
337,290970101001032,1,0,1,3189.095
338,290970101001032,1,0,2,4008.03
339,290970101001032,1,0,3,7194.33
341,290970101001032,1,1,1,0.0
342,290970101001032,1,1,2,4008.03
343,290970101001032,1,1,3,7194.33
346,290970101001032,1,2,2,0.0
347,290970101001032,1,2,3,7194.33
351,290970101001032,1,3,3,0.0
352,290970101001033,1,0,0,0.0
353,290970101001033,1,0,1,2167.9
354,290970101001033,1,0,2,2724.6
355,290970101001033,1,0,3,4890.6
357,290970101001033,1,1,1,0.0
358,290970101001033,1,1,2,2724.6
359,290970101001033,1,1,3,4890.6
362,290970101001033,1,2,2,0.0
363,290970101001033,1,2,3,4890.6
367,290970101001033,1,3,3,0.0
368,290970101001034,1,0,0,0.0
369,290970101001034,1,0,1,1592.836
370,290970101001034,1,0,2,2001.864
371,290970101001034,1,0,3,3593.304
373,290970101001034,1,1,1,0.0
374,290970101001034,1,1,2,2001.864
375,290970101001034,1,1,3,3593.304
378,290970101001034,1,2,2,0.0
379,290970101001034,1,2,3,3593.304
383,290970101001034,1,3,3,0.0
384,290970101001035,1,0,0,0.0
385,290970101001035,1,0,1,1451.9225
386,290970101001035,1,0,2,1824.765
387,290970101001035,1,0,3,3275.415
389,290970101001035,1,1,1,0.0
390,290970101001035,1,1,2,1824.765
391,290970101001035,1,1,3,3275.415
394,290970101001035,1,2,2,0.0
395,290970101001035,1,2,3,3275.415
399,290970101001035,1,3,3,0.0
400,290970101001036,1,0,0,0.0
401,290970101001036,1,0,1,3557.638
402,290970101001036,1,0,2,4471.212
403,290970101001036,1,0,3,8025.732
405,290970101001036,1,1,1,0.0
406,290970101001036,1,1,2,4471.212
407,290970101001036,1,1,3,8025.732
410,290970101001036,1,2,2,0.0
411,290970101001036,1,2,3,8025.732
415,290970101001036,1,3,3,0.0
416,290970101001037,1,0,0,0.0
417,290970101001037,1,0,1,3306.618
418,290970101001037,1,0,2,4155.732
419,290970101001037,1,0,3,7459.452
421,290970101001037,1,1,1,0.0
422,290970101001037,1,1,2,4155.732
423,290970101001037,1,1,3,7459.452
426,290970101001037,1,2,2,0.0
427,290970101001037,1,2,3,7459.452
431,290970101001037,1,3,3,0.0
432,290970101001038,1,0,0,0.0
433,290970101001038,1,0,1,2996.8365
434,290970101001038,1,0,2,3766.401
435,290970101001038,1,0,3,6760.611
437,290970101001038,1,1,1,0.0
438,290970101001038,1,1,2,3766.401
439,290970101001038,1,1,3,6760.611
442,290970101001038,1,2,2,0.0
443,290970101001038,1,2,3,6760.611
447,290970101001038,1,3,3,0.0
448,290970101001040,1,0,0,0.0
449,290970101001040,1,0,1,3255.273
450,290970101001040,1,0,2,4091.202
451,290970101001040,1,0,3,7343.622
453,290970101001040,1,1,1,0.0
454,290970101001040,1,1,2,4091.202
455,290970101001040,1,1,3,7343.622
458,290970101001040,1,2,2,0.0
459,290970101001040,1,2,3,7343.622
463,290970101001040,1,3,3,0.0
464,290970101001043,1,0,0,0.0
465,290970101001043,1,0,1,2643.697
466,290970101001043,1,0,2,3322.578
467,290970101001043,1,0,3,5963.958
469,290970101001043,1,1,1,0.0
470,290970101001043,1,1,2,3322.578
471,290970101001043,1,1,3,5963.958
474,290970101001043,1,2,2,0.0
475,290970101001043,1,2,3,5963.958
479,290970101001043,1,3,3,0.0
480,290970101001047,1,0,0,0.0
481,290970101001047,1,0,1,6143.144
482,290970101001047,1,0,2,7720.656
483,290970101001047,1,0,3,13858.416
485,290970101001047,1,1,1,0.0
486,290970101001047,1,1,2,7720.656
487,290970101001047,1,1,3,13858.416
490,290970101001047,1,2,2,0.0
491,290970101001047,1,2,3,13858.416
495,290970101001047,1,3,3,0.0
496,290970101001049,1,0,0,0.0
497,290970101001049,1,0,1,4857.237
498,290970101001049,1,0,2,6104.538
499,290970101001049,1,0,3,10957.518
501,290970101001049,1,1,1,0.0
502,290970101001049,1,1,2,6104.538
503,290970101001049,1,1,3,10957.518
506,290970101001049,1,2,2,0.0
507,290970101001049,1,2,3,10957.518
511,290970101001049,1,3,3,0.0
512,290970101001050,1,0,0,0.0
513,290970101001050,1,0,1,5329.611
514,290970101001050,1,0,2,6698.214
515,290970101001050,1,0,3,12023.154
517,290970101001050,1,1,1,0.0
518,290970101001050,1,1,2,6698.214
519,290970101001050,1,1,3,12023.154
522,290970101001050,1,2,2,0.0
523,290970101001050,1,2,3,12023.154
527,290970101001050,1,3,3,0.0
528,290970101001063,1,0,0,0.0
529,290970101001063,1,0,1,427753.4835
530,290970101001063,1,0,2,537597.279
531,290970101001063,1,0,3,964975.869
533,290970101001063,1,1,1,0.0
534,290970101001063,1,1,2,537597.279
535,290970101001063,1,1,3,964975.869
538,290970101001063,1,2,2,0.0
539,290970101001063,1,2,3,964975.869
543,290970101001063,1,3,3,0.0
544,290970101001071,1,0,0,0.0
545,290970101001071,1,0,1,1464.4735
546,290970101001071,1,0,2,1840.539
547,290970101001071,1,0,3,3303.729
549,290970101001071,1,1,1,0.0
550,290970101001071,1,1,2,1840.539
551,290970101001071,1,1,3,3303.729
554,290970101001071,1,2,2,0.0
555,290970101001071,1,2,3,3303.729
559,290970101001071,1,3,3,0.0
560,290970101001075,1,0,0,0.0
561,290970101001075,1,0,1,76680.905
562,290970101001075,1,0,2,96371.97
563,290970101001075,1,0,3,172985.67
565,290970101001075,1,1,1,0.0
566,290970101001075,1,1,2,96371.97
567,290970101001075,1,1,3,172985.67
570,290970101001075,1,2,2,0.0
571,290970101001075,1,2,3,172985.67
575,290970101001075,1,3,3,0.0
576,290970101001081,1,0,0,0.0
577,290970101001081,1,0,1,2815.988
578,290970101001081,1,0,2,3539.112
579,290970101001081,1,0,3,6352.632
581,290970101001081,1,1,1,0.0
582,290970101001081,1,1,2,3539.112
583,290970101001081,1,1,3,6352.632
586,290970101001081,1,2,2,0.0
587,290970101001081,1,2,3,6352.632
591,290970101001081,1,3,3,0.0
592,290970101002000,1,0,0,0.0
593,290970101002000,1,0,1,3687.712
594,290970101002000,1,0,2,4634.688
595,290970101002000,1,0,3,8319.168
597,290970101002000,1,1,1,0.0
598,290970101002000,1,1,2,4634.688
599,290970101002000,1,1,3,8319.168
602,290970101002000,1,2,2,0.0
603,290970101002000,1,2,3,8319.168
607,290970101002000,1,3,3,0.0
608,290970101002001,1,0,0,0.0
